player_id,position,team_id,first_name,last_name,height_feet,height_inches,weight_pounds
38017687,'G',30,'Johnny','Davis',6,4,195
38017688,'F',26,'Keegan','Murray',6,8,225
38017689,'F',1,'AJ','Griffin',6,6,220
38017690,'G',25,'Shaedon','Sharpe',6,5,205
38017691,'G',17,'TyTy','Washington Jr.',6,3,195
38017692,'F',27,'Malaki','Branham',6,4,180
38017693,'G',27,'Blake','Wesley',6,3,185
38017694,'C',9,'Jalen','Duren',6,10,250
38017695,'F',11,'Tari','Eason',6,8,215
38017696,'F',16,'Nikola','Jovic',6,10,205
38017697,'G',14,'Max','Christie',6,5,190
38017698,'C',4,'Mark','Williams',7,0,240
38017699,'F',27,'Jeremy','Sochan',6,8,230
38017700,'G',18,'Wendell','Moore Jr.',6,5,215
38017701,'G',12,'Kendall','Brown',6,7,205
38017703,'G-F',21,'Jalen','Williams',6,5,211
38017704,'F',30,'Patrick','Baldwin Jr.',6,9,220
38017705,'C',29,'Walker','Kessler',7,0,245
38017706,'F',21,'Jaylin','Williams',6,9,240
38017707,'G',2,'JD','Davison',6,1,195
38017708,'G',4,'Bryce','McGowens',6,6,175
38017709,'G',8,'Christian','Braun',6,6,220
38017711,'F',25,'Jabari','Walker',6,7,227
38017712,'G',17,'Ryan','Rollins',6,3,180
38017714,'G',26,'Keon','Ellis',6,3,175
38017715,'F',18,'Josh','Minott',6,8,205
38017716,'F',21,'Ousmane','Dieng',6,9,185
38017718,'F',9,'Buddy','Boeheim',6,5,205
38017719,'F',5,'Dalen','Terry',6,7,195
38017721,'G',8,'Peyton','Watson',6,7,200
38017723,'G',16,'Alondes','Williams',6,4,210
38017724,'G',22,'Caleb','Houstan',6,8,205
38017725,'F',13,'Moussa','Diabate',6,9,210
38017726,'G',19,'Dereon','Seabron',6,5,180
38017727,'G',8,'Collin','Gillespie',6,1,195
38017728,'F',15,'Jake','LaRavia',6,7,235
38017729,'F',24,'David','Roddy',6,4,255
38017730,'F',27,'Dominick','Barlow',6,9,215
38017731,'G',15,'Vince','Williams Jr.',6,4,205
38017732,'F',29,'Kenneth','Lofton Jr.',6,6,275
38017733,'G',17,'A.J.','Green',6,4,190
38017734,'F',16,'Jamal','Cain',6,6,191
38017736,'F',16,'Cole','Swider',6,8,220
38017739,'F',9,'Simone','Fontecchio',6,7,209
39398582,'C',16,'Orlando','Robinson',6,10,235
39613724,'C',25,'Ibou','Badji',7,0,240
42097199,'G',9,'Jared','Rhoden',6,5,210
44477024,'G',9,'Stanley','Umude',6,6,210
44477062,'G',27,'Jamaree','Bouyea',6,2,180
44477085,'G',12,'Quenton','Jackson',6,5,173
45658838,'G',10,'Lester','Quinones',6,4,208
47738533,'G',11,'Jeenathan','Williams',6,5,205
47957121,'F',25,'Justin','Minaya',6,5,205
48248287,'G',3,'Jacob','Gilyard',5,8,160
56677582,'G',8,'Jalen','Pickett',6,2,202
56677722,'F',3,'Jalen','Wilson',6,6,220
56677738,'C',14,'Colin','Castleton',6,10,250
56677747,'G',25,'Scoot','Henderson',6,3,202
56677776,'G',8,'Julian','Strawther',6,6,205
56677778,'F-C',12,'Oscar','Tshiebwe',6,8,255
56677782,'F',18,'Leonard','Miller',6,10,210
56677785,'G',16,'Jaime','Jaquez Jr.',6,6,225
56677788,'G',23,'Terquavion','Smith',6,4,160
56677791,'F',25,'Kris','Murray',6,8,210
56677792,'G',9,'Marcus','Sasser',6,2,195
56677794,'G',12,'Isaiah','Wong',6,3,185
56677795,'F',20,'Jacob','Toppin',6,8,200
56677799,'F',10,'Trayce','Jackson-Davis',6,9,245
56677805,'G',28,'Javon','Freeman-Liberty',6,3,190
56677806,'F',1,'Mouhamed','Gueye',6,10,210
56677809,'F',11,'Jermaine','Samuels Jr.',6,6,230
56677817,'G',27,'Sidy','Cissoko',6,6,200
56677822,'F-C',27,'Victor','Wembanyama',7,4,210
56677823,'F',4,'Brandon','Miller',6,7,200
56677824,'F',29,'Taylor','Hendricks',6,9,215
56677825,'G-F',11,'Amen','Thompson',6,7,200
56677826,'G-F',9,'Ausar','Thompson',6,6,205
56677827,'G',22,'Anthony','Black',6,7,200
56677828,'G',28,'Gradey','Dick',6,6,200
56677829,'G-F',25,'Rayan','Rupert',6,6,185
56677830,'F',15,'GG','Jackson',6,9,210
56677831,'F',11,'Cam','Whitmore',6,7,230
56677832,'F',12,'Jarace','Walker',6,7,235
56677833,'G',21,'Cason','Wallace',6,3,195
56677834,'G',29,'Keyonte','George',6,4,185
56677835,'G',14,'Jalen','Hood-Schifino',6,5,215
56677836,'F',14,'Maxwell','Lewis',6,7,195
56677837,'G',19,'Jordan','Hawkins',6,5,190
56677838,'G',1,'Kobe','Bufkin',6,5,195
56677839,'G',22,'Jett','Howard',6,6,215
56677840,'C',7,'Dereck','Lively II',7,1,230
56677841,'F',3,'Dariq','Whitehead',6,6,220
56677842,'F',29,'Brice','Sensabaugh',6,5,235
56677843,'F',3,'Noah','Clowney',6,9,210
56677844,'G',30,'Bilal','Coulibaly',6,8,195
56677845,'G',26,'Colby','Jones',6,6,207
56677846,'G',4,'Nick','Smith Jr.',6,2,185
56677847,'F',6,'Emoni','Bates',6,8,170
56677848,'G',4,'Amari','Bailey',6,3,185
56677849,'F',13,'Kobe','Brown',6,7,250
56677850,'F',25,'Toumani','Camara',6,7,226
56677851,'G',18,'Jaylen','Clark',6,4,205
56677852,'G',17,'Andre','Jackson Jr.',6,6,209
56677853,'F',21,'Keyontae','Johnson',6,4,230
56677854,'F',17,'Chris','Livingston',6,6,220
56677855,'G',1,'Seth','Lundy',6,4,220
56677856,'G',13,'Jordan','Miller',6,5,194
56677857,'F',5,'Julian','Phillips',6,8,198
56677858,'G',10,'Brandin','Podziemski',6,4,205
56677859,'F',7,'Olivier-Maxence','Prosper',6,7,230
56677860,'F',5,'Adama','Sanogo',6,9,245
56677861,'G',12,'Ben','Sheppard',6,6,190
56677862,'F',26,'Jalen','Slawson',6,7,215
56677864,'G',2,'Jordan','Walsh',6,6,205
56677866,'F',4,'Leaky','Black',6,6,209
56677867,'F',7,'Alex','Fudge',6,8,200
56677871,'F',8,'Hunter','Tyson',6,8,215
56677872,'G',6,'Craig','Porter',6,1,180
56677874,'F',5,'Onuralp','Bitim',6,6,215
56783340,'C',25,'Duop','Reath',6,9,245
56913527,'G',23,'Ricky','Council IV',6,6,207
57875092,'F',10,'Gui','Santos',6,6,185
59421201,'G',3,'Jaylen','Martin',6,6,216
64267203,'G',30,'Jules','Bernard',6,6,210
64268019,'F',5,'Henri','Drell',6,9,220
64268165,'F',9,'Tosan','Evbuomwan',6,7,217
64269023,'C',15,'Trey','Jemison',6,10,260
64270026,'F',6,'Pete','Nance',6,10,225
64270311,'F',2,'Drew','Peterson',6,9,205
377705601,'F',28,'Mouhamadou','Gueye',6,9,210
436846673,'G',21,'Adam','Flagler',6,3,180
795959473,'G',10,'Pat','Spencer',6,3,205
907726640,'G',5,'Andrew','Funk',6,5,200
1015289727,NULL,17,'Jaylin','Galloway',6,6,190
1016384149,'F',30,'Tristan','Vukcevic',6,10,220
1017051787,'F',15,'Maozinha','Pereira',6,8,177
