box_score_id,game_id,player_id,team_id,pts,reb,ast,blk,stl,turnover,oreb,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,pf
14478951,1038455,3547293,19,1,3,1,0,1,0,0,3,0,0,0,0,1,0,'0.5',2,1,22,0
14478952,1038455,18677986,19,28,7,1,0,2,0,1,6,'0.5',12,6,'0.5714286',14,8,'0.6666667',9,6,28,2
14478953,1038455,340,19,4,3,3,0,1,0,1,2,0,0,0,1,2,2,0,0,0,15,1
14478954,1038455,17896021,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,03,0
14478955,1038455,17896017,19,0,1,0,0,0,1,1,0,0,2,0,0,3,0,NULL,0,0,6,1
14478956,1038455,491,19,2,4,0,0,0,2,2,2,NULL,0,0,'0.5',2,1,NULL,0,0,6,2
14478957,1038455,17896092,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478958,1038455,38017677,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478959,1038455,24102469,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478960,1038455,38017663,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478961,1038455,38017726,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478962,1038455,3547250,12,9,3,3,0,0,0,0,3,'0.6666667',3,2,'0.6',5,3,'0.5',2,1,21,2
14478963,1038455,416,12,12,2,3,0,0,2,0,2,'0.5',2,1,'0.5',10,5,'0.5',2,1,20,1
14478964,1038455,452,12,12,5,0,3,0,2,2,3,0,1,0,'0.5',10,5,'0.5',4,2,19,3
14478965,1038455,38017507,12,10,0,4,0,2,1,0,0,'0.25',8,2,'0.3333333',12,4,0,0,0,30,3
14478966,1038455,3547245,12,0,3,3,0,0,1,0,3,0,6,0,0,7,0,0,0,0,23,0
14478967,1038455,38017701,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06,0
14478968,1038455,17896035,12,13,11,1,0,2,2,7,4,NULL,0,0,'0.667',9,6,'0.5',2,1,18,1
14478969,1038455,242,12,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,07,3
14478970,1038455,38017686,12,13,2,1,0,0,2,1,1,'0.333',3,1,'0.4',10,4,1,4,4,20,1
14478971,1038455,304,12,8,4,3,0,1,2,2,2,0,0,0,'0.5',8,4,0,0,0,17,1
14478972,1038455,3547264,12,9,3,0,0,0,1,2,1,'0.5',2,1,'0.6666667',6,4,0,0,0,11,1
14478973,1038455,3547243,12,5,2,0,0,1,1,1,1,'0.3333333',3,1,'0.4',5,2,0,0,0,16,3
14478974,1038455,56677778,12,3,2,0,1,0,0,2,0,0,0,0,'0.3333333',3,1,'0.5',2,1,04,1
14478975,1038455,56677832,12,6,7,6,3,3,2,0,7,'0.5',4,2,'0.222',9,2,NULL,0,0,27,1
14478976,1038455,305,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478977,1038455,56677861,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478978,1038455,56677794,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479013,1038453,38017731,15,8,2,5,2,0,4,0,2,0,0,0,'0.4285714',7,3,'0.4',5,2,28,2
14479014,1038453,17896067,15,6,8,1,1,0,4,3,5,0,4,0,'0.3',10,3,0,0,0,27,1
14479015,1038453,64269023,15,5,6,1,0,0,1,2,4,0,0,0,'0.6666667',3,2,'0.5',2,1,26,5
14479016,1038453,17896027,15,9,5,2,0,1,1,0,5,'0.3333333',3,1,'0.4',10,4,0,0,0,26,1
14479017,1038453,18678058,15,10,3,2,4,2,3,2,1,'0.2',5,1,'0.308',13,4,'0.5',2,1,34,1
14479018,1038453,17896050,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0
14479019,1038453,56677830,15,11,1,0,0,0,2,0,1,'0.6666667',3,2,'0.5',8,4,'0.5',2,1,23,1
14479020,1038453,254,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479021,1038453,666703,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479022,1038453,38017728,15,21,2,2,0,1,3,0,2,'0.429',7,3,'0.538',13,7,'0.8',5,4,26,2
14479023,1038453,3547279,15,19,1,2,0,1,1,1,0,1,1,1,'0.583',12,7,1,4,4,21,2
14479024,1038453,470,15,0,1,0,0,1,2,0,1,NULL,0,0,0,1,0,0,2,0,17,2
14479025,1038453,3547287,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479026,1038453,666505,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479027,1038453,231,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14479028,1038453,666786,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
